640000,0.004109
704000,0.004982
768000,0.005632
832000,0.006163
896000,0.007190
960000,0.007680
1024000,0.008531
1088000,0.009608
1152000,0.010522
1216000,0.011714
1280000,0.013257
1344000,0.013923
1408000,0.014767
1472000,0.016061
1536000,0.016828
1600000,0.017459
1664000,0.018430
1728000,0.019464
1792000,0.020233
1856000,0.021368
1920000,0.022514
1984000,0.023282
2048000,0.024330
2112000,0.025076
2176000,0.026517
2240000,0.027714
2304000,0.029153
2368000,0.031760
2432000,0.033786
2496000,0.032696
2560000,0.034672
2624000,0.034558
2688000,0.035395
2752000,0.037212
2816000,0.038237
2880000,0.039142
2944000,0.039371
3008000,0.040840
3072000,0.041968
3136000,0.043628
3200000,0.043807
3264000,0.044550
3328000,0.045900
3392000,0.046008
3456000,0.046549
3520000,0.047231
3584000,0.047888
3648000,0.049147
3712000,0.053305
3776000,0.053729
